day,direction,reason,dte,S0,S1,intrinsic_pnl,net0_10,net1_10,mtm_10,net0_12,net1_12,mtm_12,net0_15,net1_15,mtm_15,net0_20,net1_20,mtm_20
2023-12-14,LONG,STOP,0,21185.15,21160.15,-7.5,3.42,4.16,0.74,0.49,0.71,0.22,-3.24,-3.38,-0.14,-7.77,-8.09,-0.32
2023-12-19,SHORT,STOP,2,21379.5,21404.5,-7.5,-9.4,-6.92,2.48,-11.87,-9.63,2.24,-14.43,-12.52,1.91,-17.08,-15.58,1.51
2023-12-26,LONG,TARGET,2,21393.65,21443.65,42.5,-7.18,-6.78,0.41,-9.8,-9.44,0.36,-12.58,-12.27,0.3,-15.48,-15.24,0.24
2024-01-02,SHORT,STOP,2,21636.8,21661.8,-7.5,-8.95,-6.55,2.39,-11.46,-9.28,2.18,-14.09,-12.21,1.88,-16.81,-15.32,1.49
2024-01-03,SHORT,TARGET,1,21588.25,21538.25,42.5,-5.36,-4.55,0.81,-8.29,-7.56,0.73,-11.42,-10.8,0.62,-14.72,-14.23,0.49
2024-01-08,SHORT,STOP,3,21675.3,21700.3,-7.5,-11.96,-9.78,2.18,-14.08,-12.17,1.92,-16.26,-14.66,1.6,-18.5,-17.26,1.24
2024-01-11,SHORT,TARGET,0,21674.6,21624.6,42.5,3.43,4.8,1.37,0.7,2.34,1.63,-2.93,-1.19,1.74,-7.48,-5.85,1.63
2024-01-12,LONG,TARGET,6,21754.85,21804.85,42.5,-13.79,-13.69,0.1,-15.54,-15.45,0.08,-17.31,-17.25,0.07,-19.09,-19.04,0.05
2024-01-23,SHORT,TARGET,2,21674.0,21624.0,42.5,-6.15,-5.66,0.49,-8.87,-8.42,0.45,-11.84,-11.45,0.39,-15.02,-14.71,0.31
2024-02-08,SHORT,STOP,0,21965.35,21990.35,-7.5,2.97,3.53,0.56,-0.02,0.07,0.09,-3.78,-4.01,-0.23,-8.31,-8.68,-0.37
2024-02-12,SHORT,TARGET,3,21722.9,21672.9,42.5,-8.52,-8.17,0.34,-11.01,-10.71,0.31,-13.67,-13.41,0.26,-16.47,-16.27,0.2
2024-02-16,LONG,HARD_EXIT,6,22028.25,22032.05,-3.700000000000728,-12.38,-11.86,0.52,-14.31,-13.87,0.44,-16.3,-15.94,0.36,-18.31,-18.04,0.27
