n,wr,pf,total,avg,sharpe,n1,wr1,sh1,n2,wr2,sh2,signals,vehicle,side,passed
48,56.2,1.36,50.2,1.05,2.29,25,52.0,1.96,23,60.9,2.65,g50_18_1015,mtm_8_6,PE,True
35,54.3,1.37,37.6,1.07,2.28,18,61.1,5.79,17,47.1,-1.44,g62_22_1000,mtm_8_6,PE,True
35,54.3,1.37,37.6,1.07,2.28,18,61.1,5.79,17,47.1,-1.44,g65_22_1000,mtm_8_6,PE,True
39,59.0,1.45,52.7,1.35,2.26,19,68.4,4.19,20,50.0,1.57,g58_25_1000,trail_8_5,PE,True
39,59.0,1.45,52.7,1.35,2.26,19,68.4,4.19,20,50.0,1.57,g58_28_1000,trail_8_5,PE,True
39,59.0,1.45,52.7,1.35,2.26,19,68.4,4.19,20,50.0,1.57,g60_25_1000,trail_8_5,PE,True
39,59.0,1.45,52.7,1.35,2.26,19,68.4,4.19,20,50.0,1.57,g60_28_1000,trail_8_5,PE,True
47,55.3,1.36,49.0,1.04,2.23,24,58.3,4.3,23,52.2,0.11,g55_x_1000,mtm_8_6,PE,True
50,58.0,1.44,61.7,1.23,2.22,27,63.0,3.05,23,52.2,1.96,g50_x_1000,trail_8_5,PE,True
33,60.6,1.42,44.8,1.36,2.21,16,68.8,5.98,17,52.9,0.09,g58_18_1000,trail_10_4,PE,True
33,60.6,1.42,44.8,1.36,2.21,16,68.8,5.98,17,52.9,0.09,g60_18_1000,trail_10_4,PE,True
38,57.9,1.43,51.0,1.34,2.21,19,68.4,4.19,19,47.4,1.49,g62_25_1000,trail_8_5,PE,True
38,57.9,1.43,51.0,1.34,2.21,19,68.4,4.19,19,47.4,1.49,g62_28_1000,trail_8_5,PE,True
38,57.9,1.43,51.0,1.34,2.21,19,68.4,4.19,19,47.4,1.49,g65_25_1000,trail_8_5,PE,True
38,57.9,1.43,51.0,1.34,2.21,19,68.4,4.19,19,47.4,1.49,g65_28_1000,trail_8_5,PE,True
35,54.3,1.6,92.1,2.63,2.19,18,55.6,0.42,17,52.9,3.12,g62_22_1000,hold,PE,True
35,54.3,1.6,92.1,2.63,2.19,18,55.6,0.42,17,52.9,3.12,g65_22_1000,hold,PE,True
36,55.6,1.61,93.8,2.61,2.19,18,55.6,0.42,18,55.6,3.1,g58_22_1000,hold,PE,True
36,55.6,1.61,93.8,2.61,2.19,18,55.6,0.42,18,55.6,3.1,g60_22_1000,hold,PE,True
47,59.6,1.41,53.2,1.13,2.19,24,66.7,4.28,23,52.2,1.24,g55_x_1000,trail_8_4,PE,True
39,51.3,1.75,124.5,3.19,2.18,19,36.8,-3.07,20,65.0,3.88,g62_18_1015,hold,PE,True
39,51.3,1.75,124.5,3.19,2.18,19,36.8,-3.07,20,65.0,3.88,g65_18_1015,hold,PE,True
37,54.1,1.59,95.3,2.58,2.18,18,50.0,-0.22,19,57.9,3.24,g55_18_1000,hold,PE,True
40,52.5,1.37,51.7,1.29,2.18,20,55.0,4.0,20,50.0,0.63,g58_30_1000,mtm_12_8,PE,True
40,52.5,1.37,51.7,1.29,2.18,20,55.0,4.0,20,50.0,0.63,g58_35_1000,mtm_12_8,PE,True
40,52.5,1.37,51.7,1.29,2.18,20,55.0,4.0,20,50.0,0.63,g60_30_1000,mtm_12_8,PE,True
40,52.5,1.37,51.7,1.29,2.18,20,55.0,4.0,20,50.0,0.63,g60_35_1000,mtm_12_8,PE,True
43,55.8,1.43,53.2,1.24,2.17,23,60.9,3.65,20,50.0,1.62,g50_22_1000,trail_8_5,PE,True
51,58.8,1.38,54.2,1.06,2.17,27,55.6,0.36,24,62.5,3.94,g50_22_1015,trail_6_3,PE,True
40,55.0,1.34,41.4,1.03,2.17,20,60.0,5.4,20,50.0,-1.14,g58_30_1000,mtm_8_6,PE,True
40,55.0,1.34,41.4,1.03,2.17,20,60.0,5.4,20,50.0,-1.14,g58_35_1000,mtm_8_6,PE,True
40,55.0,1.34,41.4,1.03,2.17,20,60.0,5.4,20,50.0,-1.14,g60_30_1000,mtm_8_6,PE,True
40,55.0,1.34,41.4,1.03,2.17,20,60.0,5.4,20,50.0,-1.14,g60_35_1000,mtm_8_6,PE,True
40,52.5,1.75,125.1,3.13,2.16,19,36.8,-3.07,21,66.7,3.8,g60_18_1015,hold,PE,True
32,59.4,1.4,43.1,1.35,2.16,16,68.8,5.98,16,50.0,-0.05,g62_18_1000,trail_10_4,PE,True
32,59.4,1.4,43.1,1.35,2.16,16,68.8,5.98,16,50.0,-0.05,g65_18_1000,trail_10_4,PE,True
